,point,Building,Equipment_Type,Equipment_Number,Sensor_Type
31893,MRAK.AHU.AC04.RM NW AREA:CTL STPT,MRAK,AHU,AC04,RM NW AREA:CTL STPT
31894,MRAK.AHU.AC04.RM NW AREA:CTL TEMP,MRAK,AHU,AC04,RM NW AREA:CTL TEMP
31896,MRAK.AHU.AC04.RM NW AREA:FLOW,MRAK,AHU,AC04,RM NW AREA:FLOW
31897,MRAK.AHU.AC04.RM NW AREA:ROOM TEMP,MRAK,AHU,AC04,RM NW AREA:ROOM TEMP
31898,MRAK.AHU.AC04.RM203:AIR VOLUME,MRAK,AHU,AC04,RM203:AIR VOLUME
31899,MRAK.AHU.AC04.RM203:CTL STPT,MRAK,AHU,AC04,RM203:CTL STPT
31900,MRAK.AHU.AC04.RM203:CTL TEMP,MRAK,AHU,AC04,RM203:CTL TEMP
31902,MRAK.AHU.AC04.RM203:FLOW,MRAK,AHU,AC04,RM203:FLOW
31903,MRAK.AHU.AC04.RM203:ROOM TEMP,MRAK,AHU,AC04,RM203:ROOM TEMP
31904,MRAK.AHU.AC04.RM204:AIR VOLUME,MRAK,AHU,AC04,RM204:AIR VOLUME
31905,MRAK.AHU.AC04.RM204:CTL STPT,MRAK,AHU,AC04,RM204:CTL STPT
31906,MRAK.AHU.AC04.RM204:CTL TEMP,MRAK,AHU,AC04,RM204:CTL TEMP
31908,MRAK.AHU.AC04.RM204:FLOW,MRAK,AHU,AC04,RM204:FLOW
31909,MRAK.AHU.AC04.RM204:ROOM TEMP,MRAK,AHU,AC04,RM204:ROOM TEMP
31910,MRAK.AHU.AC04.RM209:AIR VOLUME,MRAK,AHU,AC04,RM209:AIR VOLUME
31911,MRAK.AHU.AC04.RM209:CTL STPT,MRAK,AHU,AC04,RM209:CTL STPT
31912,MRAK.AHU.AC04.RM209:CTL TEMP,MRAK,AHU,AC04,RM209:CTL TEMP
31914,MRAK.AHU.AC04.RM209:FLOW,MRAK,AHU,AC04,RM209:FLOW
31915,MRAK.AHU.AC04.RM209:ROOM TEMP,MRAK,AHU,AC04,RM209:ROOM TEMP
31916,MRAK.AHU.AC04.RM250:AIR VOLUME,MRAK,AHU,AC04,RM250:AIR VOLUME
31917,MRAK.AHU.AC04.RM250:CTL STPT,MRAK,AHU,AC04,RM250:CTL STPT
31918,MRAK.AHU.AC04.RM250:CTL TEMP,MRAK,AHU,AC04,RM250:CTL TEMP
31920,MRAK.AHU.AC04.RM250:FLOW,MRAK,AHU,AC04,RM250:FLOW
31921,MRAK.AHU.AC04.RM250:ROOM TEMP,MRAK,AHU,AC04,RM250:ROOM TEMP
31922,MRAK.AHU.AC04.RM267:AIR VOLUME,MRAK,AHU,AC04,RM267:AIR VOLUME
31923,MRAK.AHU.AC04.RM267:CTL STPT,MRAK,AHU,AC04,RM267:CTL STPT
31924,MRAK.AHU.AC04.RM267:CTL TEMP,MRAK,AHU,AC04,RM267:CTL TEMP
31926,MRAK.AHU.AC04.RM267:FLOW,MRAK,AHU,AC04,RM267:FLOW
31927,MRAK.AHU.AC04.RM267:ROOM TEMP,MRAK,AHU,AC04,RM267:ROOM TEMP
31928,MRAK.AHU.AC04.RM270:AIR VOLUME,MRAK,AHU,AC04,RM270:AIR VOLUME
31929,MRAK.AHU.AC04.RM270:CTL STPT,MRAK,AHU,AC04,RM270:CTL STPT
31930,MRAK.AHU.AC04.RM270:CTL TEMP,MRAK,AHU,AC04,RM270:CTL TEMP
31932,MRAK.AHU.AC04.RM270:FLOW,MRAK,AHU,AC04,RM270:FLOW
31933,MRAK.AHU.AC04.RM270:ROOM TEMP,MRAK,AHU,AC04,RM270:ROOM TEMP
31934,MRAK.AHU.AC04.RM271:AIR VOLUME,MRAK,AHU,AC04,RM271:AIR VOLUME
31935,MRAK.AHU.AC04.RM271:CTL STPT,MRAK,AHU,AC04,RM271:CTL STPT
31936,MRAK.AHU.AC04.RM271:CTL TEMP,MRAK,AHU,AC04,RM271:CTL TEMP
31938,MRAK.AHU.AC04.RM271:FLOW,MRAK,AHU,AC04,RM271:FLOW
31939,MRAK.AHU.AC04.RM271:ROOM TEMP,MRAK,AHU,AC04,RM271:ROOM TEMP
31940,MRAK.AHU.AC04.RM300J:AIR VOLUME,MRAK,AHU,AC04,RM300J:AIR VOLUME
31941,MRAK.AHU.AC04.RM300J:CTL STPT,MRAK,AHU,AC04,RM300J:CTL STPT
31942,MRAK.AHU.AC04.RM300J:CTL TEMP,MRAK,AHU,AC04,RM300J:CTL TEMP
31944,MRAK.AHU.AC04.RM300J:FLOW,MRAK,AHU,AC04,RM300J:FLOW
31945,MRAK.AHU.AC04.RM300J:ROOM TEMP,MRAK,AHU,AC04,RM300J:ROOM TEMP
31946,MRAK.AHU.AC04.RM356N:AIR VOLUME,MRAK,AHU,AC04,RM356N:AIR VOLUME
31947,MRAK.AHU.AC04.RM356N:CTL STPT,MRAK,AHU,AC04,RM356N:CTL STPT
31948,MRAK.AHU.AC04.RM356N:CTL TEMP,MRAK,AHU,AC04,RM356N:CTL TEMP
31950,MRAK.AHU.AC04.RM356N:FLOW,MRAK,AHU,AC04,RM356N:FLOW
31951,MRAK.AHU.AC04.RM356N:ROOM TEMP,MRAK,AHU,AC04,RM356N:ROOM TEMP
31952,MRAK.AHU.AC04.RM373:AIR VOLUME,MRAK,AHU,AC04,RM373:AIR VOLUME
31953,MRAK.AHU.AC04.RM373:CTL STPT,MRAK,AHU,AC04,RM373:CTL STPT
31954,MRAK.AHU.AC04.RM373:CTL TEMP,MRAK,AHU,AC04,RM373:CTL TEMP
31956,MRAK.AHU.AC04.RM373:FLOW,MRAK,AHU,AC04,RM373:FLOW
31957,MRAK.AHU.AC04.RM373:ROOM TEMP,MRAK,AHU,AC04,RM373:ROOM TEMP
31958,MRAK.AHU.AC04.RM379:AIR VOLUME,MRAK,AHU,AC04,RM379:AIR VOLUME
31959,MRAK.AHU.AC04.RM379:CTL STPT,MRAK,AHU,AC04,RM379:CTL STPT
31960,MRAK.AHU.AC04.RM379:CTL TEMP,MRAK,AHU,AC04,RM379:CTL TEMP
31962,MRAK.AHU.AC04.RM379:FLOW,MRAK,AHU,AC04,RM379:FLOW
31963,MRAK.AHU.AC04.RM379:ROOM TEMP,MRAK,AHU,AC04,RM379:ROOM TEMP
31964,MRAK.AHU.AC04.RM406:AIR VOLUME,MRAK,AHU,AC04,RM406:AIR VOLUME
31965,MRAK.AHU.AC04.RM406:CTL STPT,MRAK,AHU,AC04,RM406:CTL STPT
31966,MRAK.AHU.AC04.RM406:CTL TEMP,MRAK,AHU,AC04,RM406:CTL TEMP
31968,MRAK.AHU.AC04.RM406:FLOW,MRAK,AHU,AC04,RM406:FLOW
31969,MRAK.AHU.AC04.RM406:ROOM TEMP,MRAK,AHU,AC04,RM406:ROOM TEMP
31970,MRAK.AHU.AC04.RM410:AIR VOLUME,MRAK,AHU,AC04,RM410:AIR VOLUME
31971,MRAK.AHU.AC04.RM410:CTL STPT,MRAK,AHU,AC04,RM410:CTL STPT
31972,MRAK.AHU.AC04.RM410:CTL TEMP,MRAK,AHU,AC04,RM410:CTL TEMP
31974,MRAK.AHU.AC04.RM410:FLOW,MRAK,AHU,AC04,RM410:FLOW
31975,MRAK.AHU.AC04.RM410:ROOM TEMP,MRAK,AHU,AC04,RM410:ROOM TEMP
31976,MRAK.AHU.AC04.RM453:AIR VOLUME,MRAK,AHU,AC04,RM453:AIR VOLUME
31977,MRAK.AHU.AC04.RM453:CTL STPT,MRAK,AHU,AC04,RM453:CTL STPT
31978,MRAK.AHU.AC04.RM453:CTL TEMP,MRAK,AHU,AC04,RM453:CTL TEMP
31980,MRAK.AHU.AC04.RM453:FLOW,MRAK,AHU,AC04,RM453:FLOW
31981,MRAK.AHU.AC04.RM453:ROOM TEMP,MRAK,AHU,AC04,RM453:ROOM TEMP
31982,MRAK.AHU.AC04.RM471:AIR VOLUME,MRAK,AHU,AC04,RM471:AIR VOLUME
31983,MRAK.AHU.AC04.RM471:CTL STPT,MRAK,AHU,AC04,RM471:CTL STPT
31984,MRAK.AHU.AC04.RM471:CTL TEMP,MRAK,AHU,AC04,RM471:CTL TEMP
31986,MRAK.AHU.AC04.RM471:FLOW,MRAK,AHU,AC04,RM471:FLOW
31987,MRAK.AHU.AC04.RM471:ROOM TEMP,MRAK,AHU,AC04,RM471:ROOM TEMP
31988,MRAK.AHU.AC04.RM500A:AIR VOLUME,MRAK,AHU,AC04,RM500A:AIR VOLUME
31989,MRAK.AHU.AC04.RM500A:CTL STPT,MRAK,AHU,AC04,RM500A:CTL STPT
31990,MRAK.AHU.AC04.RM500A:CTL TEMP,MRAK,AHU,AC04,RM500A:CTL TEMP
31992,MRAK.AHU.AC04.RM500A:FLOW,MRAK,AHU,AC04,RM500A:FLOW
31993,MRAK.AHU.AC04.RM500A:ROOM TEMP,MRAK,AHU,AC04,RM500A:ROOM TEMP
31994,MRAK.AHU.AC04.RM567:AIR VOLUME,MRAK,AHU,AC04,RM567:AIR VOLUME
31995,MRAK.AHU.AC04.RM567:CTL STPT,MRAK,AHU,AC04,RM567:CTL STPT
31996,MRAK.AHU.AC04.RM567:CTL TEMP,MRAK,AHU,AC04,RM567:CTL TEMP
31998,MRAK.AHU.AC04.RM567:FLOW,MRAK,AHU,AC04,RM567:FLOW
31999,MRAK.AHU.AC04.RM567:ROOM TEMP,MRAK,AHU,AC04,RM567:ROOM TEMP
32000,MRAK.AHU.AC04.RM567AUX:AUX TEMP,MRAK,AHU,AC04,RM567AUX:AUX TEMP
32001,MRAK.AHU.AC04.RM567AUX:CTL STPT,MRAK,AHU,AC04,RM567AUX:CTL STPT
32003,MRAK.AHU.AC04.RM567AUX:ROOM TEMP,MRAK,AHU,AC04,RM567AUX:ROOM TEMP
32004,MRAK.AHU.AC04.RM573:AIR VOLUME,MRAK,AHU,AC04,RM573:AIR VOLUME
32005,MRAK.AHU.AC04.RM573:CTL STPT,MRAK,AHU,AC04,RM573:CTL STPT
32006,MRAK.AHU.AC04.RM573:CTL TEMP,MRAK,AHU,AC04,RM573:CTL TEMP
32008,MRAK.AHU.AC04.RM573:FLOW,MRAK,AHU,AC04,RM573:FLOW
32009,MRAK.AHU.AC04.RM573:ROOM TEMP,MRAK,AHU,AC04,RM573:ROOM TEMP
32010,MRAK.AHU.AC04.RM573X:AIR VOLUME,MRAK,AHU,AC04,RM573X:AIR VOLUME
32011,MRAK.AHU.AC04.RM573X:CTL STPT,MRAK,AHU,AC04,RM573X:CTL STPT
32012,MRAK.AHU.AC04.RM573X:CTL TEMP,MRAK,AHU,AC04,RM573X:CTL TEMP
32014,MRAK.AHU.AC04.RM573X:FLOW,MRAK,AHU,AC04,RM573X:FLOW
32015,MRAK.AHU.AC04.RM573X:ROOM TEMP,MRAK,AHU,AC04,RM573X:ROOM TEMP
32016,MRAK.AHU.AC04.RM581:AIR VOLUME,MRAK,AHU,AC04,RM581:AIR VOLUME
32017,MRAK.AHU.AC04.RM581:CTL STPT,MRAK,AHU,AC04,RM581:CTL STPT
32018,MRAK.AHU.AC04.RM581:CTL TEMP,MRAK,AHU,AC04,RM581:CTL TEMP
32020,MRAK.AHU.AC04.RM581:FLOW,MRAK,AHU,AC04,RM581:FLOW
32021,MRAK.AHU.AC04.RM581:ROOM TEMP,MRAK,AHU,AC04,RM581:ROOM TEMP
32022,MRAK.AHU.AC04.Start/StopP,MRAK,AHU,AC04,Start/StopP
32023,MRAK.AHU.AC04.Start/StopS,MRAK,AHU,AC04,Start/StopS
32024,MRAK.AHU.AC04.Supply Air Temp,MRAK,AHU,AC04,Supply Air Temp
32025,MRAK.AHU.AC04.Supply Air Temp Sp,MRAK,AHU,AC04,Supply Air Temp Sp
32026,MRAK.AHU.AC04.Supply Fan Speed,MRAK,AHU,AC04,Supply Fan Speed
32027,MRAK.AHU.AC04.Supply Fan Status,MRAK,AHU,AC04,Supply Fan Status
32028,MRAK.AHU.AC04_AC05.Mixed Air Temp,MRAK,AHU,AC04_AC05,Mixed Air Temp
32029,MRAK.AHU.AC05.Mixed Air Temp,MRAK,AHU,AC05,Mixed Air Temp
32030,MRAK.AHU.AC05.MODE,MRAK,AHU,AC05,MODE
32031,MRAK.AHU.AC05.Outside Air Temp,MRAK,AHU,AC05,Outside Air Temp
32032,MRAK.AHU.AC05.Return Air Fan Start/Stop,MRAK,AHU,AC05,Return Air Fan Start/Stop
32033,MRAK.AHU.AC05.Return Air Temp,MRAK,AHU,AC05,Return Air Temp
32034,MRAK.AHU.AC05.Return Fan Speed,MRAK,AHU,AC05,Return Fan Speed
32036,MRAK.AHU.AC05.RM SE AREA:AIR VOLUME,MRAK,AHU,AC05,RM SE AREA:AIR VOLUME
32037,MRAK.AHU.AC05.RM SE AREA:CTL STPT,MRAK,AHU,AC05,RM SE AREA:CTL STPT
32038,MRAK.AHU.AC05.RM SE AREA:CTL TEMP,MRAK,AHU,AC05,RM SE AREA:CTL TEMP
32040,MRAK.AHU.AC05.RM SE AREA:FLOW,MRAK,AHU,AC05,RM SE AREA:FLOW
32041,MRAK.AHU.AC05.RM SE AREA:ROOM TEMP,MRAK,AHU,AC05,RM SE AREA:ROOM TEMP
32043,MRAK.AHU.AC05.RM SW AREA:AIR VOLUME,MRAK,AHU,AC05,RM SW AREA:AIR VOLUME
32044,MRAK.AHU.AC05.RM SW AREA:CTL STPT,MRAK,AHU,AC05,RM SW AREA:CTL STPT
32045,MRAK.AHU.AC05.RM SW AREA:CTL TEMP,MRAK,AHU,AC05,RM SW AREA:CTL TEMP
32047,MRAK.AHU.AC05.RM SW AREA:FLOW,MRAK,AHU,AC05,RM SW AREA:FLOW
32048,MRAK.AHU.AC05.RM SW AREA:ROOM TEMP,MRAK,AHU,AC05,RM SW AREA:ROOM TEMP
32049,MRAK.AHU.AC05.RM215:AIR VOLUME,MRAK,AHU,AC05,RM215:AIR VOLUME
32050,MRAK.AHU.AC05.RM215:CTL STPT,MRAK,AHU,AC05,RM215:CTL STPT
32051,MRAK.AHU.AC05.RM215:CTL TEMP,MRAK,AHU,AC05,RM215:CTL TEMP
32053,MRAK.AHU.AC05.RM215:FLOW,MRAK,AHU,AC05,RM215:FLOW
32054,MRAK.AHU.AC05.RM215:ROOM TEMP,MRAK,AHU,AC05,RM215:ROOM TEMP
32055,MRAK.AHU.AC05.RM220:AIR VOLUME,MRAK,AHU,AC05,RM220:AIR VOLUME
32056,MRAK.AHU.AC05.RM220:CTL STPT,MRAK,AHU,AC05,RM220:CTL STPT
32057,MRAK.AHU.AC05.RM220:CTL TEMP,MRAK,AHU,AC05,RM220:CTL TEMP
32059,MRAK.AHU.AC05.RM220:FLOW,MRAK,AHU,AC05,RM220:FLOW
32060,MRAK.AHU.AC05.RM220:ROOM TEMP,MRAK,AHU,AC05,RM220:ROOM TEMP
32061,MRAK.AHU.AC05.RM227:AIR VOLUME,MRAK,AHU,AC05,RM227:AIR VOLUME
32062,MRAK.AHU.AC05.RM227:CTL STPT,MRAK,AHU,AC05,RM227:CTL STPT
32063,MRAK.AHU.AC05.RM227:CTL TEMP,MRAK,AHU,AC05,RM227:CTL TEMP
32065,MRAK.AHU.AC05.RM227:FLOW,MRAK,AHU,AC05,RM227:FLOW
32066,MRAK.AHU.AC05.RM227:ROOM TEMP,MRAK,AHU,AC05,RM227:ROOM TEMP
32067,MRAK.AHU.AC05.RM227:SUPPLY TEMP,MRAK,AHU,AC05,RM227:SUPPLY TEMP
32068,MRAK.AHU.AC05.RM236:AIR VOLUME,MRAK,AHU,AC05,RM236:AIR VOLUME
32069,MRAK.AHU.AC05.RM236:CTL STPT,MRAK,AHU,AC05,RM236:CTL STPT
32070,MRAK.AHU.AC05.RM236:CTL TEMP,MRAK,AHU,AC05,RM236:CTL TEMP
32072,MRAK.AHU.AC05.RM236:FLOW,MRAK,AHU,AC05,RM236:FLOW
32073,MRAK.AHU.AC05.RM236:ROOM TEMP,MRAK,AHU,AC05,RM236:ROOM TEMP
32074,MRAK.AHU.AC05.RM239:AIR VOLUME,MRAK,AHU,AC05,RM239:AIR VOLUME
32075,MRAK.AHU.AC05.RM239:CTL STPT,MRAK,AHU,AC05,RM239:CTL STPT
32076,MRAK.AHU.AC05.RM239:CTL TEMP,MRAK,AHU,AC05,RM239:CTL TEMP
32078,MRAK.AHU.AC05.RM239:FLOW,MRAK,AHU,AC05,RM239:FLOW
32079,MRAK.AHU.AC05.RM239:ROOM TEMP,MRAK,AHU,AC05,RM239:ROOM TEMP
32080,MRAK.AHU.AC05.RM251:AIR VOLUME,MRAK,AHU,AC05,RM251:AIR VOLUME
32081,MRAK.AHU.AC05.RM251:CTL STPT,MRAK,AHU,AC05,RM251:CTL STPT
32082,MRAK.AHU.AC05.RM251:CTL TEMP,MRAK,AHU,AC05,RM251:CTL TEMP
32084,MRAK.AHU.AC05.RM251:FLOW,MRAK,AHU,AC05,RM251:FLOW
32085,MRAK.AHU.AC05.RM251:ROOM TEMP,MRAK,AHU,AC05,RM251:ROOM TEMP
32086,MRAK.AHU.AC05.RM300M:AIR VOLUME,MRAK,AHU,AC05,RM300M:AIR VOLUME
32087,MRAK.AHU.AC05.RM300M:CTL STPT,MRAK,AHU,AC05,RM300M:CTL STPT
32088,MRAK.AHU.AC05.RM300M:CTL TEMP,MRAK,AHU,AC05,RM300M:CTL TEMP
32090,MRAK.AHU.AC05.RM300M:FLOW,MRAK,AHU,AC05,RM300M:FLOW
32091,MRAK.AHU.AC05.RM300M:ROOM TEMP,MRAK,AHU,AC05,RM300M:ROOM TEMP
32092,MRAK.AHU.AC05.RM309:AIR VOLUME,MRAK,AHU,AC05,RM309:AIR VOLUME
32093,MRAK.AHU.AC05.RM309:CTL STPT,MRAK,AHU,AC05,RM309:CTL STPT
32094,MRAK.AHU.AC05.RM309:CTL TEMP,MRAK,AHU,AC05,RM309:CTL TEMP
32096,MRAK.AHU.AC05.RM309:FLOW,MRAK,AHU,AC05,RM309:FLOW
32097,MRAK.AHU.AC05.RM309:ROOM TEMP,MRAK,AHU,AC05,RM309:ROOM TEMP
32098,MRAK.AHU.AC05.RM329:AIR VOLUME,MRAK,AHU,AC05,RM329:AIR VOLUME
32099,MRAK.AHU.AC05.RM329:CTL STPT,MRAK,AHU,AC05,RM329:CTL STPT
32100,MRAK.AHU.AC05.RM329:CTL TEMP,MRAK,AHU,AC05,RM329:CTL TEMP
32102,MRAK.AHU.AC05.RM329:FLOW,MRAK,AHU,AC05,RM329:FLOW
32103,MRAK.AHU.AC05.RM329:ROOM TEMP,MRAK,AHU,AC05,RM329:ROOM TEMP
32104,MRAK.AHU.AC05.RM334X:AIR VOLUME,MRAK,AHU,AC05,RM334X:AIR VOLUME
32105,MRAK.AHU.AC05.RM334X:CTL STPT,MRAK,AHU,AC05,RM334X:CTL STPT
32106,MRAK.AHU.AC05.RM334X:CTL TEMP,MRAK,AHU,AC05,RM334X:CTL TEMP
32108,MRAK.AHU.AC05.RM334X:FLOW,MRAK,AHU,AC05,RM334X:FLOW
32109,MRAK.AHU.AC05.RM334X:ROOM TEMP,MRAK,AHU,AC05,RM334X:ROOM TEMP
32110,MRAK.AHU.AC05.RM339:AIR VOLUME,MRAK,AHU,AC05,RM339:AIR VOLUME
32111,MRAK.AHU.AC05.RM339:CTL STPT,MRAK,AHU,AC05,RM339:CTL STPT
32112,MRAK.AHU.AC05.RM339:CTL TEMP,MRAK,AHU,AC05,RM339:CTL TEMP
32114,MRAK.AHU.AC05.RM339:FLOW,MRAK,AHU,AC05,RM339:FLOW
32115,MRAK.AHU.AC05.RM339:ROOM TEMP,MRAK,AHU,AC05,RM339:ROOM TEMP
32116,MRAK.AHU.AC05.RM356:AIR VOLUME,MRAK,AHU,AC05,RM356:AIR VOLUME
32117,MRAK.AHU.AC05.RM356:CTL STPT,MRAK,AHU,AC05,RM356:CTL STPT
32118,MRAK.AHU.AC05.RM356:CTL TEMP,MRAK,AHU,AC05,RM356:CTL TEMP
32120,MRAK.AHU.AC05.RM356:FLOW,MRAK,AHU,AC05,RM356:FLOW
32121,MRAK.AHU.AC05.RM356:ROOM TEMP,MRAK,AHU,AC05,RM356:ROOM TEMP
32122,MRAK.AHU.AC05.RM413:AIR VOLUME,MRAK,AHU,AC05,RM413:AIR VOLUME
32123,MRAK.AHU.AC05.RM413:CTL STPT,MRAK,AHU,AC05,RM413:CTL STPT
32124,MRAK.AHU.AC05.RM413:CTL TEMP,MRAK,AHU,AC05,RM413:CTL TEMP
32126,MRAK.AHU.AC05.RM413:FLOW,MRAK,AHU,AC05,RM413:FLOW
32127,MRAK.AHU.AC05.RM413:ROOM TEMP,MRAK,AHU,AC05,RM413:ROOM TEMP
32128,MRAK.AHU.AC05.RM423:AIR VOLUME,MRAK,AHU,AC05,RM423:AIR VOLUME
32129,MRAK.AHU.AC05.RM423:CTL STPT,MRAK,AHU,AC05,RM423:CTL STPT
32130,MRAK.AHU.AC05.RM423:CTL TEMP,MRAK,AHU,AC05,RM423:CTL TEMP
32132,MRAK.AHU.AC05.RM423:FLOW,MRAK,AHU,AC05,RM423:FLOW
32133,MRAK.AHU.AC05.RM423:ROOM TEMP,MRAK,AHU,AC05,RM423:ROOM TEMP
32134,MRAK.AHU.AC05.RM431:AIR VOLUME,MRAK,AHU,AC05,RM431:AIR VOLUME
32135,MRAK.AHU.AC05.RM431:CTL STPT,MRAK,AHU,AC05,RM431:CTL STPT
32136,MRAK.AHU.AC05.RM431:CTL TEMP,MRAK,AHU,AC05,RM431:CTL TEMP
32138,MRAK.AHU.AC05.RM431:FLOW,MRAK,AHU,AC05,RM431:FLOW
32139,MRAK.AHU.AC05.RM431:ROOM TEMP,MRAK,AHU,AC05,RM431:ROOM TEMP
32140,MRAK.AHU.AC05.RM439:AIR VOLUME,MRAK,AHU,AC05,RM439:AIR VOLUME
32141,MRAK.AHU.AC05.RM439:CTL STPT,MRAK,AHU,AC05,RM439:CTL STPT
32142,MRAK.AHU.AC05.RM439:CTL TEMP,MRAK,AHU,AC05,RM439:CTL TEMP
32144,MRAK.AHU.AC05.RM439:FLOW,MRAK,AHU,AC05,RM439:FLOW
32145,MRAK.AHU.AC05.RM439:ROOM TEMP,MRAK,AHU,AC05,RM439:ROOM TEMP
32146,MRAK.AHU.AC05.RM523:AIR VOLUME,MRAK,AHU,AC05,RM523:AIR VOLUME
32147,MRAK.AHU.AC05.RM523:CTL STPT,MRAK,AHU,AC05,RM523:CTL STPT
32148,MRAK.AHU.AC05.RM523:CTL TEMP,MRAK,AHU,AC05,RM523:CTL TEMP
32150,MRAK.AHU.AC05.RM523:FLOW,MRAK,AHU,AC05,RM523:FLOW
32151,MRAK.AHU.AC05.RM523:ROOM TEMP,MRAK,AHU,AC05,RM523:ROOM TEMP
32152,MRAK.AHU.AC05.RM528A:AIR VOLUME,MRAK,AHU,AC05,RM528A:AIR VOLUME
32153,MRAK.AHU.AC05.RM528A:CTL STPT,MRAK,AHU,AC05,RM528A:CTL STPT
32154,MRAK.AHU.AC05.RM528A:CTL TEMP,MRAK,AHU,AC05,RM528A:CTL TEMP
32156,MRAK.AHU.AC05.RM528A:FLOW,MRAK,AHU,AC05,RM528A:FLOW
32157,MRAK.AHU.AC05.RM528A:ROOM TEMP,MRAK,AHU,AC05,RM528A:ROOM TEMP
32158,MRAK.AHU.AC05.RM529:AIR VOLUME,MRAK,AHU,AC05,RM529:AIR VOLUME
32159,MRAK.AHU.AC05.RM529:CTL STPT,MRAK,AHU,AC05,RM529:CTL STPT
32160,MRAK.AHU.AC05.RM529:CTL TEMP,MRAK,AHU,AC05,RM529:CTL TEMP
32162,MRAK.AHU.AC05.RM529:FLOW,MRAK,AHU,AC05,RM529:FLOW
32163,MRAK.AHU.AC05.RM529:ROOM TEMP,MRAK,AHU,AC05,RM529:ROOM TEMP
32164,MRAK.AHU.AC05.RM537:AIR VOLUME,MRAK,AHU,AC05,RM537:AIR VOLUME
32165,MRAK.AHU.AC05.RM537:CTL STPT,MRAK,AHU,AC05,RM537:CTL STPT
32166,MRAK.AHU.AC05.RM537:CTL TEMP,MRAK,AHU,AC05,RM537:CTL TEMP
32168,MRAK.AHU.AC05.RM537:FLOW,MRAK,AHU,AC05,RM537:FLOW
32169,MRAK.AHU.AC05.RM537:ROOM TEMP,MRAK,AHU,AC05,RM537:ROOM TEMP
32170,MRAK.AHU.AC05.RM540:AIR VOLUME,MRAK,AHU,AC05,RM540:AIR VOLUME
32171,MRAK.AHU.AC05.RM540:CTL STPT,MRAK,AHU,AC05,RM540:CTL STPT
32172,MRAK.AHU.AC05.RM540:CTL TEMP,MRAK,AHU,AC05,RM540:CTL TEMP
32174,MRAK.AHU.AC05.RM540:FLOW,MRAK,AHU,AC05,RM540:FLOW
32175,MRAK.AHU.AC05.RM540:ROOM TEMP,MRAK,AHU,AC05,RM540:ROOM TEMP
32176,MRAK.AHU.AC05.RM559:AIR VOLUME,MRAK,AHU,AC05,RM559:AIR VOLUME
32177,MRAK.AHU.AC05.RM559:CTL STPT,MRAK,AHU,AC05,RM559:CTL STPT
32178,MRAK.AHU.AC05.RM559:CTL TEMP,MRAK,AHU,AC05,RM559:CTL TEMP
32180,MRAK.AHU.AC05.RM559:FLOW,MRAK,AHU,AC05,RM559:FLOW
32181,MRAK.AHU.AC05.RM559:ROOM TEMP,MRAK,AHU,AC05,RM559:ROOM TEMP
32182,MRAK.AHU.AC05.Start/StopP,MRAK,AHU,AC05,Start/StopP
32183,MRAK.AHU.AC05.Start/StopS,MRAK,AHU,AC05,Start/StopS
32184,MRAK.AHU.AC05.Supply Air Temp,MRAK,AHU,AC05,Supply Air Temp
32185,MRAK.AHU.AC05.Supply Air Temp Sp,MRAK,AHU,AC05,Supply Air Temp Sp
32186,MRAK.AHU.AC05.Supply Fan Speed,MRAK,AHU,AC05,Supply Fan Speed
32187,MRAK.AHU.AC05.Supply Fan Status,MRAK,AHU,AC05,Supply Fan Status
32430,MSB.AHU.AHU01.CCV,MSB,AHU,AHU01,CCV
32431,MSB.AHU.AHU01.Cooling Valve Output,MSB,AHU,AHU01,Cooling Valve Output
32432,MSB.AHU.AHU01.Economizer Mode,MSB,AHU,AHU01,Economizer Mode
32433,MSB.AHU.AHU01.EXH FANS,MSB,AHU,AHU01,EXH FANS
32434,MSB.AHU.AHU01.HCV,MSB,AHU,AHU01,HCV
32435,MSB.AHU.AHU01.Heating Valve Output,MSB,AHU,AHU01,Heating Valve Output
32436,MSB.AHU.AHU01.Mixed Air Damper,MSB,AHU,AHU01,Mixed Air Damper
32437,MSB.AHU.AHU01.Mixed Air Damper Output,MSB,AHU,AHU01,Mixed Air Damper Output
32438,MSB.AHU.AHU01.Mixed Air Temp,MSB,AHU,AHU01,Mixed Air Temp
32439,MSB.AHU.AHU01.MODE,MSB,AHU,AHU01,MODE
32440,MSB.AHU.AHU01.Outside Air Temp,MSB,AHU,AHU01,Outside Air Temp
32441,MSB.AHU.AHU01.Outside Air Temp Virt,MSB,AHU,AHU01,Outside Air Temp Virt
32442,MSB.AHU.AHU01.Return Air Temp,MSB,AHU,AHU01,Return Air Temp
32443,MSB.AHU.AHU01.Supply Air Fan Start/Stop,MSB,AHU,AHU01,Supply Air Fan Start/Stop
32444,MSB.AHU.AHU01.Supply Air Temp,MSB,AHU,AHU01,Supply Air Temp
32445,MSB.AHU.AHU01.Supply Air Temp Sp,MSB,AHU,AHU01,Supply Air Temp Sp
32446,MSB.AHU.AHU01.ZSP,MSB,AHU,AHU01,ZSP
32447,MSB.AHU.AHU02.CCV,MSB,AHU,AHU02,CCV
32448,MSB.AHU.AHU02.COL,MSB,AHU,AHU02,COL
32449,MSB.AHU.AHU02.Cooling Valve Output,MSB,AHU,AHU02,Cooling Valve Output
32450,MSB.AHU.AHU02.Economizer Mode,MSB,AHU,AHU02,Economizer Mode
